episodes, epsilon, epsilon_decay, gamma, alpha, buff_size, minibatch_size, wins, losses, draws
1000, 0.6, 0.99, 0.9, 0.01, 1024, 16, 384, 515, 101
1000, 0.6, 0.99, 0.9, 0.01, 1024, 32, 391, 519, 90
2000, 0.6, 0.99, 0.9, 0.01, 1024, 16, 837, 984, 179
2000, 0.6, 0.99, 0.9, 0.01, 1024, 32, 800, 1009, 191
4000, 0.6, 0.99, 0.9, 0.01, 1024, 16, 1596, 2076, 328
4000, 0.6, 0.99, 0.9, 0.01, 1024, 32, 1635, 1970, 395
10000, 0.6, 0.999, 0.9, 0.001, 1024, 32, 4026, 5039, 935
10000, 0.6, 0.999, 0.9, 0.01, 1024, 32, 4100, 4993, 907
10000, 0.6, 0.999, 0.9, 0.1, 1024, 32, 3936, 5232, 832
10000, 1.0 , 0.999, 0.9, 0.001, 1024, 32, 4089, 5065, 846
